route_id,source_name,source_description,display_name,display_summary,display_description,garmin_name,distance_miles,origin,gpx_file_name,gpx_url,garmin_url,garmin_embed_url,notes
6595287,Loose Park,Mission Hills 2 - Summit to 59 St W to Mission N to 56th St E to Ward Parkway S to Westover to Wyandotte S to 51st,Loose Park,,Mission Hills 2 - Summit to 59 St W to Mission N to 56th St E to Ward Parkway S to Westover to Wyandotte S to 51st,"Loose Park: Mission Hills 2, 59, Mission",4.6168,loose_park,6595287-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6595287-Loose-Park.gpx,https://connect.garmin.com/app/course/439243395,,
6576271,Loose Park,Pennsylvania S. to 63rd St W to Ward Parkway N to Westover E to Wyandotte S to 51st W to Loose Park,Loose Park,,Pennsylvania S. to 63rd St W to Ward Parkway N to Westover E to Wyandotte S to 51st W to Loose Park,"Loose Park: Pennsylvania, 63rd, Ward Parkway",4.3288,loose_park,6576271-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6576271-Loose-Park.gpx,https://connect.garmin.com/app/course/439243421,,
6552094,Kauffman Center - East to Benton and back,East on Brush Creek Sidewalk past Paseo & Prospect to Benton and back.,Kauffman Center - East to Benton and back,,East on Brush Creek Sidewalk past Paseo & Prospect to Benton and back.,"Kauffman Center - East to Benton and back: on Brush Creek Sidewalk, Benton",5.045,sunday,6552094-Kauffman-Center-East-to-Benton-and-back.gpx,https://kcfrontrunners.github.io/routes/gpx/6552094-Kauffman-Center-East-to-Benton-and-back.gpx,https://connect.garmin.com/app/course/439243446,,
6523693,Mill Creek,43rd E to Rockhill to Brush Creek N to 47th E to Mill Creek and REPEAT.,Mill Creek,,43rd E to Rockhill to Brush Creek N to 47th E to Mill Creek and REPEAT.,"Mill Creek: 43rd, Rockhill, Brush Creek",5.907,mill_creek,6523693-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6523693-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243677,,
6457699,Mill Creek,Mill Creek to 47th St W to Madison South to sidewalk along Brush Creek E to Rockhill N to 43rd back to Start,Mill Creek,,Mill Creek to 47th St W to Madison South to sidewalk along Brush Creek E to Rockhill N to 43rd back to Start,"Mill Creek: 47th, Madison, sidewalk along Brush Creek",3.4949,mill_creek,6457699-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6457699-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243778,,
6446840,Loose Park,From Loose Park to Gillham Park and back via Rockhill & Trolley Trail to 51st St,Loose Park,,From Loose Park to Gillham Park and back via Rockhill & Trolley Trail to 51st St,"Loose Park: Gillham Park, via Rockhill & Trolley, 51st",5.3093,loose_park,6446840-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6446840-Loose-Park.gpx,https://connect.garmin.com/app/course/439243794,,
6396614,Loose Park,3 miles,Loose Park,,3 miles,Loose Park: 3 miles,3.3794,loose_park,6396614-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6396614-Loose-Park.gpx,https://connect.garmin.com/app/course/439243885,,
6342072,Loose Park,Out and back on the Trolley trail,Loose Park,,Out and back on the Trolley trail,"Loose Park: Out, on Trolley trail",5.0392,loose_park,6342072-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6342072-Loose-Park.gpx,https://connect.garmin.com/app/course/439243972,,
6319381,Swope Park,Gregory to Lakeside to Lewis to 63rd St,Swope Park,,Gregory to Lakeside to Lewis to 63rd St,"Swope Park: Gregory, Lakeside, Lewis",4.6702,sunday,6319381-Swope-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6319381-Swope-Park.gpx,https://connect.garmin.com/app/course/439244088,,
6319353,Longview Lake,Start at Longview & Raytown Rd,Longview Lake,,Start at Longview & Raytown Rd,Longview Lake: Longview & Raytown,5.3245,sunday,6319353-Longview-Lake.gpx,https://kcfrontrunners.github.io/routes/gpx/6319353-Longview-Lake.gpx,https://connect.garmin.com/app/course/439244100,,
6312484,Loose Park,Crestwood - starting from 55th - shorter 4.5 mile route,Loose Park,,Crestwood - starting from 55th - shorter 4.5 mile route,"Loose Park: Crestwood - starting from, 5 mile route",4.893,loose_park,6312484-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6312484-Loose-Park.gpx,https://connect.garmin.com/app/course/439244138,,
6242740,Mill Creek Steamway Trail,,Mill Creek Steamway Trail,,,Mill Creek Steamway Trail,5.3604,mill_creek,6242740-Mill-Creek-Steamway-Trail.gpx,https://kcfrontrunners.github.io/routes/gpx/6242740-Mill-Creek-Steamway-Trail.gpx,https://connect.garmin.com/app/course/439244205,,
